City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
466,Brooks,CA,50.5834,-111.8851,48.04,41,37,5.64,scattered clouds
467,Chake Chake,TZ,-5.2459,39.7666,80.15,78,4,10.67,clear sky
468,Gravdal,NO,68.1214,13.5031,40.89,75,75,32.21,light intensity shower rain
469,Chernushka,RU,56.5072,56.0766,-2.16,100,16,4.54,few clouds
470,Mabaruma,GY,8.2,-59.7833,77.56,94,41,6.58,light rain
471,San Cristobal,VE,7.7669,-72.225,77.18,48,67,5.73,broken clouds
472,Fortuna,US,40.5982,-124.1573,53.92,81,75,8.05,broken clouds
473,Oro Valley,US,32.3909,-110.9665,82.8,11,0,5.99,clear sky
474,Baleshwar,IN,21.4942,86.9317,74.03,80,38,8.99,scattered clouds
475,Doha,QA,25.2867,51.5333,66.51,52,0,18.41,clear sky
476,Kulhudhuffushi,MV,6.6221,73.07,83.05,74,37,9.98,scattered clouds
477,Salalah,OM,17.0151,54.0924,78.89,78,0,2.3,clear sky
478,Buarcos,PT,40.166,-8.8768,57.67,80,99,26.71,overcast clouds
479,Asau,RO,46.4333,26.4,36.95,73,100,4.52,overcast clouds
480,Tonantins,BR,-2.8731,-67.8022,72.61,99,100,4.0,light rain
481,Mazamari,PE,-11.3258,-74.5308,78.19,79,95,1.63,light rain
482,Moba,CN,33.2288,105.0179,45.82,74,0,2.33,clear sky
483,San Carlos De Bariloche,AR,-41.1456,-71.3082,65.95,32,40,31.07,scattered clouds
484,Bubaque,GW,11.2833,-15.8333,76.03,70,94,15.61,overcast clouds
485,Norman Wells,CA,65.282,-126.8329,-3.96,65,75,3.44,broken clouds
486,Honningsvag,NO,70.9821,25.9704,29.95,74,0,28.77,clear sky
487,Sibi,PK,29.5448,67.8764,91.35,15,10,5.79,clear sky
488,Vila Do Maio,CV,15.1333,-23.2167,70.59,73,52,19.8,broken clouds
489,Clocolan,ZA,-28.9137,27.5656,60.6,53,55,3.65,broken clouds
490,Sidrolandia,BR,-20.9319,-54.9614,90.18,32,38,6.6,scattered clouds
491,Port Keats,AU,-14.25,129.55,80.22,82,81,2.91,broken clouds
492,Nazca,PE,-14.8333,-74.95,86.94,40,10,8.14,clear sky
493,Baglung,NP,28.2719,83.5898,63.16,43,0,5.77,clear sky
494,Aquiraz,BR,-3.9014,-38.3911,84.06,74,100,6.6,overcast clouds
495,Lewistown,US,40.5992,-77.5714,72.19,63,0,12.66,clear sky
496,Magadan,RU,59.5667,150.8,7.09,80,100,5.77,overcast clouds
497,Kavaratti,IN,10.5669,72.642,83.46,68,7,9.78,clear sky
498,Waw,SS,7.7029,27.9953,85.06,12,97,6.35,overcast clouds
