City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Poum,NC,2022-02-15 22:45:04,-20.2333,164.0167,82.36,74,29,9.71
68,Mataura,NZ,2022-02-15 22:45:04,-46.1927,168.8643,56.48,59,75,5.19
69,Ariquemes,BR,2022-02-15 22:45:05,-9.9133,-63.0408,72.48,99,100,1.95
70,Tomatlan,MX,2022-02-15 22:45:05,19.9333,-105.25,86.59,34,0,8.55
71,Chuy,UY,2022-02-15 22:45:05,-33.6971,-53.4616,68.94,67,0,8.21
72,Henties Bay,NA,2022-02-15 22:45:06,-22.116,14.2845,71.85,88,89,8.79
73,Saint George,US,2022-02-15 22:45:06,37.1041,-113.5841,68.47,12,0,28.77
74,Namatanai,PG,2022-02-15 22:45:07,-3.6667,152.4333,80.1,81,96,3.15
75,Nioro,GM,2022-02-15 22:45:07,13.35,-15.75,79.92,13,59,8.37
76,Cape Town,ZA,2022-02-15 22:45:07,-33.9258,18.4232,71.89,75,75,8.05
77,Caninde De Sao Francisco,BR,2022-02-15 22:45:08,-9.66,-37.7894,81.9,54,60,13.6
78,Ruteng,ID,2022-02-15 22:45:08,-8.6136,120.4721,63.91,89,84,1.12
79,Moses Lake,US,2022-02-15 22:41:40,47.1301,-119.2781,50.68,53,0,4.61
80,Pevek,RU,2022-02-15 22:45:09,69.7008,170.3133,-22.16,99,100,3.33
81,Atuona,PF,2022-02-15 22:45:09,-9.8,-139.0333,77.5,77,7,14.52
82,Ippy,CF,2022-02-15 22:45:10,6.2679,21.2247,76.64,15,100,3.91
83,Jamestown,US,2022-02-15 22:45:10,42.097,-79.2353,31.32,46,0,4.61
84,Souillac,MU,2022-02-15 22:45:10,-20.5167,57.5167,79.18,89,40,6.91
85,Kuala Terengganu,MY,2022-02-15 22:40:26,5.3302,103.1408,75.15,100,20,3.44
86,Nanortalik,GL,2022-02-15 22:45:11,60.1432,-45.2371,11.43,64,53,36.37
87,Salalah,OM,2022-02-15 22:45:11,17.0151,54.0924,69.89,40,0,4.61
88,Kitimat,CA,2022-02-15 22:42:26,54.0524,-128.6534,41.92,68,100,1.01
89,Dolzhanskaya,RU,2022-02-15 22:45:12,46.6311,37.8039,33.91,83,15,8.21
90,Half Moon Bay,US,2022-02-15 22:45:12,37.4636,-122.4286,63.37,47,0,18.41
91,Ostrovnoy,RU,2022-02-15 22:45:12,68.0531,39.5131,18.84,91,24,20.33
92,Mackay,AU,2022-02-15 22:41:13,-21.15,149.2,77.68,88,75,11.5
93,Presque Isle,US,2022-02-15 22:45:13,46.6811,-68.0159,12.18,53,75,13.8
94,Airai,TL,2022-02-15 22:45:13,-8.9266,125.4092,62.28,74,85,1.99
95,Marsh Harbour,BS,2022-02-15 22:46:14,26.5412,-77.0636,69.22,64,100,25.64
96,Port Alfred,ZA,2022-02-15 22:46:14,-33.5906,26.891,71.65,94,100,3.91
97,Cap Malheureux,MU,2022-02-15 22:46:15,-19.9842,57.6142,79.29,82,41,11.59
98,Georgetown,MY,2022-02-15 22:44:49,5.4112,100.3354,78.73,92,20,2.3
99,Waslala,NI,2022-02-15 22:46:15,13.2333,-85.3833,84.54,65,76,8.68
100,Cherskiy,RU,2022-02-15 22:46:16,68.75,161.3,-34.55,100,100,4.54
101,Bluff,NZ,2022-02-15 22:46:16,-46.6,168.3333,56.8,54,32,7.31
102,Esperance,AU,2022-02-15 22:46:17,-33.8667,121.9,57.04,67,0,6.04
103,Alihe,CN,2022-02-15 22:46:17,50.5667,123.7167,-7.83,99,97,3.42
104,Kahului,US,2022-02-15 22:46:17,20.8947,-156.47,83.46,64,40,19.57
105,Potam,MX,2022-02-15 22:46:18,27.6,-110.3833,84.92,20,59,11.54
106,Seymchan,RU,2022-02-15 22:46:18,62.8833,152.4333,-37.39,99,69,2.04
107,Beitbridge,ZW,2022-02-15 22:46:18,-22.2167,30.0,73.15,73,2,16.17
108,Bloemhof,ZA,2022-02-15 22:46:19,-27.6469,25.607,67.33,59,78,3.65
109,Ponta Do Sol,PT,2022-02-15 22:46:19,32.6667,-17.1,62.06,62,45,7.29
110,Faanui,PF,2022-02-15 22:46:20,-16.4833,-151.75,81.84,70,23,15.57
111,Marzuq,YE,2022-02-15 22:46:20,14.4,46.4667,58.24,25,1,3.27
112,Sorland,NO,2022-02-15 22:46:20,67.667,12.6934,32.77,54,50,26.13
113,Coihaique,CL,2022-02-15 22:46:21,-45.5752,-72.0662,56.01,76,100,5.75
114,Arraial Do Cabo,BR,2022-02-15 22:46:21,-22.9661,-42.0278,78.76,89,40,10.36
115,Deputatskiy,RU,2022-02-15 22:46:21,69.3,139.9,-24.97,91,4,2.64
116,Talara,PE,2022-02-15 22:46:22,-4.5772,-81.2719,79.56,57,0,16.11
117,Caravelas,BR,2022-02-15 22:46:22,-17.7125,-39.2481,78.44,85,73,9.28
118,Puro,PH,2022-02-15 22:46:22,12.4841,123.3827,75.97,82,44,6.89
119,Ejea De Los Caballeros,ES,2022-02-15 22:46:23,42.1263,-1.1372,48.74,73,97,5.14
120,Dikson,RU,2022-02-15 22:46:23,73.5069,80.5464,-18.9,93,98,5.37
121,Northam,GB,2022-02-15 22:46:24,51.0333,-4.2167,52.43,97,100,27.78
122,Cayenne,GF,2022-02-15 22:46:24,4.9333,-52.3333,79.09,87,75,3.44
123,Deori,IN,2022-02-15 22:46:24,21.45,82.6167,62.01,38,1,2.17
124,Evans,US,2022-02-15 22:46:25,33.5337,-82.1307,63.61,38,0,8.05
125,Vaini,TO,2022-02-15 22:46:25,-21.2,-175.2,84.36,74,20,8.05
126,East London,ZA,2022-02-15 22:46:26,-33.0153,27.9116,73.45,90,98,19.24
127,Saldanha,ZA,2022-02-15 22:46:26,-33.0117,17.9442,65.28,86,37,12.55
128,Tasiilaq,GL,2022-02-15 22:46:27,65.6145,-37.6368,28.56,93,100,25.46
129,Cherusti,RU,2022-02-15 22:46:27,55.5498,40.0107,18.3,89,64,6.96
