City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
551,Axim,GH,80.22,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
553,Kudahuvadhoo,MV,82.78,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
559,Pandan,PH,78.51,light rain,14.0453,124.1694,Bonifacio Lodge
568,Bayshore Gardens,US,78.04,heavy intensity rain,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
574,The Valley,AI,84.06,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
576,Kingsville,US,82.81,smoke,27.5159,-97.8561,Econo Lodge Kingsville
577,Gombong,ID,75.81,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
579,Kirakira,SB,79.83,overcast clouds,-10.4544,161.9205,SanBiz Lodge
586,Dourbali,TD,80.83,few clouds,11.8091,15.8632,
587,Makakilo City,US,80.92,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
590,San Antonio,US,83.07,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
592,Quatre Cocos,MU,80.71,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
593,Tabou,CI,80.31,broken clouds,4.423,-7.3528,hotêl doufoulougou
595,Corn Island,NI,80.58,light rain,12.1694,-83.0418,Big Fish Guest House
599,Tautira,PF,80.8,overcast clouds,-17.7333,-149.15,Pension Oaoa
601,Inhambane,MZ,76.98,moderate rain,-23.865,35.3833,Oceano
602,Sao Miguel Do Araguaia,BR,81.97,light rain,-13.275,-50.1628,Hotel Executivo Palace
608,Caborca,MX,81.55,clear sky,30.5838,-111.101,Hotel Los Lagos
609,Ilheus,BR,83.71,broken clouds,-14.7889,-39.0494,Barravento Hotel
611,Alyangula,AU,81.93,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
612,Astorga,BR,77.92,light rain,-23.2325,-51.6656,Rancho Jads
617,La Orilla,MX,84.43,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
618,Gossas,SN,89.35,clear sky,14.4912,-16.0642,Ndiayéne
625,Barra,BR,84.87,broken clouds,-11.0894,-43.1417,Motel Albatroz
629,Grand-Santi,GF,80.4,light rain,4.25,-54.3833,Hotel La Villa Couacou
632,Silca,HN,86.77,broken clouds,14.8333,-86.5333,"Hotel Plaza Maya, Salamá, Olancho"
644,Marsh Harbour,BS,78.04,light rain,26.5412,-77.0636,Abaco Beach Resort
645,Garissa,KE,87.84,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
648,Entre Rios,BR,85.44,scattered clouds,-11.9419,-38.0844,Pousada Porteira
649,Salinopolis,BR,78.6,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
650,Bima,ID,76.71,few clouds,-8.4667,118.7167,Lambitu Hotel
651,Hobyo,SO,78.8,few clouds,5.3505,48.5268,Iftin hotel hobyo
653,Juventino Rosas,MX,81.68,clear sky,20.65,-101.0,Hotel Plaza
654,Uthal,PK,78.24,clear sky,25.8072,66.6219,Al-Mustafa Hotel
657,Kidal,ML,87.78,broken clouds,18.4411,1.4078,
658,Bitung,ID,76.05,light rain,1.4451,125.1824,K2 Lembeh
660,Waingapu,ID,78.3,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
661,Pemangkat,ID,79.68,overcast clouds,1.1667,108.9667,Ramah Kost KITA
665,Hualmay,PE,78.22,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
666,Sahuaripa,MX,88.3,clear sky,29.05,-109.2333,Estatua de Sahuaripa
670,Manicore,BR,81.23,moderate rain,-5.8092,-61.3003,Hotel Durval
